id_transacao,valor,horario,tipo_chave,dispositivo,localizacao,suspeita_fraude,fraude_pix
181,3253.92,2025-09-03 05:03:00,CPF,iOS,Recife - PE,Sim,Não
182,2788.53,2025-09-30 15:34:00,Email,Windows,Manaus - AM,Não,Não
183,4125.04,2025-09-30 09:39:00,Aleatória,Windows,Salvador - BA,Não,Não
184,868.34,2025-09-14 20:07:00,Aleatória,Windows,Campinas - SP,Não,Não
185,2895.64,2025-09-15 08:43:00,Email,iOS,Londrina - PR,Não,Não
186,1417.22,2025-09-27 05:30:00,Celular,iOS,São Paulo - SP,Sim,Não
187,3889.2,2025-09-11 03:19:00,CPF,iOS,Londrina - PR,Não,Não
188,857.85,2025-09-13 16:38:00,Aleatória,Windows,Belo Horizonte - MG,Não,Não
189,3358.65,2025-09-20 12:27:00,Aleatória,Android,Florianópolis - SC,Sim,Não
190,1669.99,2025-09-05 08:07:00,Email,iOS,Londrina - PR,Não,Não
191,1042.57,2025-09-18 18:56:00,Celular,Windows,Recife - PE,Sim,Não
192,1322.9,2025-09-04 11:53:00,CPF,iOS,Vitória - ES,Sim,Não
193,2142.28,2025-09-25 13:35:00,CPF,Windows,Recife - PE,Sim,Não
194,91.46,2025-09-11 07:20:00,CPF,iOS,Santos - SP,Não,Não
195,3976.35,2025-09-29 18:22:00,Aleatória,Windows,Recife - PE,Não,Não
196,674.81,2025-09-06 05:37:00,Email,Android,Florianópolis - SC,Não,Não
197,4538.0,2025-09-04 00:09:00,Celular,Android,Aracaju - SE,Sim,Não
198,4178.0,2025-09-03 20:51:00,Celular,iOS,Curitiba - PR,Não,Não
199,3520.97,2025-09-03 01:32:00,Celular,Android,Uberlândia - MG,Sim,Não
200,257.19,2025-09-10 18:32:00,Celular,iOS,Salvador - BA,Não,Não
